id,network_transaction_id,region
314a64ba-3a1d-4327-917d-a3564fc9e920,304080269681092,hk
e4d75721-90ea-44dd-a832-b62e3c68e97b,584080523634431,hk
6cf8df38-9696-42b8-bab7-8f62af5781e8,464080548138081,hk
45e01023-e3e1-4f53-9932-d3fce41c5b2d,584080085518764,hk
a50af569-b305-4504-a3ae-a136f58f4f6f,304079786267965,hk
4374ba3a-6459-4a9b-8a1b-dca6556abe7c,304080053782516,hk
cee255df-009e-44fc-a2dd-76b804b83eb2,584080060882154,hk
112a794b-0dab-4e9b-abe3-30b1b7926a25,304080037241631,hk
9512aa76-2496-466c-8e7c-1681d94318a1,304080205095168,hk
ab7decae-ce97-4208-9a44-a054c1444c90,464080181965875,hk
875d214e-e140-40e3-aa91-ce55a64b6868,464080029444400,hk
a9694b26-7803-471a-93fc-9e8b702040c8,304080134767478,hk
5e90c8fd-086e-4228-9d8b-be1b65fc99b0,384080548598669,hk
b6f91e22-df2d-4d4f-a1af-d663e9f34ca1,464080151509933,hk
9f213c0a-a19f-447f-abea-051aa28a8fec,584080092063382,hk
7bc56958-26c2-4417-a266-f149b03b6b57,384080006138913,hk
a61732bb-2f37-4b14-8861-2ace77aba8c6,384080530603085,hk
d4de5046-22f1-4e26-a3be-d735c3fcbcd7,464079833371881,hk
36900e0b-a0d9-40de-ade9-e009d415458f,464080073243198,hk
b8cee847-7d54-483b-9c3f-51e0d75cc8ba,584080114957335,hk
7621877e-8dab-4fa4-bc1d-05d338c809e5,304080108677071,hk
dd1dcb83-cadf-4e73-815b-30cfe32c2c8a,584080102772531,hk
525d0e9f-030e-4bc8-8192-37a22f2f056b,464080509207926,hk
3f2e3e25-6ff7-4a3d-900f-1f20db728193,304080553638873,hk
10c1752b-725e-4d53-916e-ece6b6c1e483,464079809032566,hk
dc501f07-36d5-4ab8-8917-8ee42c9d87f1,304080128472081,hk
0c17fe30-6d01-4b97-8550-60d8b186d075,384079804512338,hk
dd058416-ebe8-4463-8277-ef5b454b0a25,304080490935186,hk
c29e7434-a6c6-4f33-968d-ec85cee4497a,384080512843262,hk
